Source feature	Target feature	Weight	Dependency
SAHUL047	SAHUL039	2.22044604925031e-16	1
SAHUL014	SAHUL079	0.523698056207193	0.476301943792807
SAHUL014	SAHUL086	0.679966680341295	0.320033319658705
SAHUL014	SAHUL042	0.344360937770433	0.655639062229567
SAHUL014	SAHUL011	0.677828434853995	0.322171565146005
SAHUL055	SAHUL021	0.632963153124505	0.367036846875495
SAHUL2.1.05c	SAHUL157	0.675596449175266	0.324403550824734
SAHUL078	SAHUL104	0.617730092098429	0.382269907901571
SAHUL154	SAHUL118	0.637503030933779	0.362496969066221
SAHUL2.6.09b	SAHUL065	0.429426216910547	0.570573783089453
SAHUL065	SAHUL1.1.02	0.754343483425455	0.245656516574545
SAHUL065	SAHUL2.6.09a	2.22044604925031e-16	1
SAHUL065	SAHUL084	0.676332423705142	0.323667576294858
SAHUL065	SAHUL140	0.72969406400062	0.27030593599938
SAHUL065	SAHUL152	0.617930814551341	0.382069185448659
SAHUL065	SAHUL151	0.359859567471279	0.640140432528721
SAHUL065	SAHUL066	0.5642693601761	0.4357306398239
SAHUL065	SAHUL093	0.754916389091055	0.245083610908945
SAHUL065	SAHUL090	0.726080111808255	0.273919888191745
SAHUL065	SAHUL004	0.583359582570591	0.416640417429409
SAHUL144	SAHUL124	0.590236294293751	0.409763705706249
SAHUL015	SAHUL013	0.714195647879849	0.285804352120151
SAHUL159	SAHUL4.3.07	0.702282586923543	0.297717413076457
SAHUL159	SAHUL083	0.54024853466174	0.45975146533826
SAHUL021	SAHUL142	0.403839771762186	0.596160228237814
SAHUL112	SAHUL015	0.489079080254884	0.510920919745116
SAHUL112	SAHUL028	0.455645999911963	0.544354000088037
SAHUL069	SAHUL068	0.526973376570889	0.473026623429111
SAHUL108	SAHUL039	2.22044604925031e-16	1
SAHUL080	SAHUL029	2.22044604925031e-16	1
SAHUL083	SAHUL082	0.616425582151603	0.383574417848397
SAHUL114	SAHUL085	0.638493078073063	0.361506921926937
SAHUL085	SAHUL097	2.22044604925031e-16	1
SAHUL085	SAHUL2.2.03	0.366126090772258	0.633873909227742
SAHUL023	SAHUL4.3.08a	0.525649012385972	0.474350987614028
SAHUL019	SAHUL128	0.45849457108496	0.54150542891504
SAHUL079	SAHUL099	0.51625636745082	0.48374363254918
SAHUL140	SAHUL039	2.22044604925031e-16	1
SAHUL035	SAHUL2.6.01	0.719941037784105	0.280058962215895
SAHUL3.6.05	SAHUL147	0.690806264623893	0.309193735376107
SAHUL3.6.05	SAHUL029	2.22044604925031e-16	1
SAHUL115	SAHUL158	0.498758465241206	0.501241534758794
SAHUL115	SAHUL107	0.730952231402487	0.269047768597513
SAHUL130	SAHUL4.1.02	0.0481877050021609	0.951812294997839
SAHUL130	SAHUL4.1.01	2.22044604925031e-16	1
SAHUL130	SAHUL132	0.517836236161269	0.482163763838731
